Countries,Region,Subregion
Thailand,Asia,Southeast Asia
Japan,Asia,East Asia
Singapore,Asia,Southeast Asia
Nepal,Asia,South Asia
Malaysia,Asia,Southeast Asia
Canada,North America,North America
Australia,Australia,Australia
Cambodia,Asia,Southeast Asia
Sri Lanka,Asia,South Asia
Germany,Europe,Central Europe
Finland,Europe,Scandanavia
United Arab Emirates,Asia,Middle East
Philippines,Asia,Southeast Asia
India,Asia,South Asia
Italy,Europe,Central Europe
Sweden,Europe,Scandanavia
Spain,Europe,Western Europe
Belgium,Europe,Western Europe
Egypt,Africa,North Africa
Lebanon,Asia,Middle East
Iraq,Asia,Middle East
Oman,Asia,Middle East
Afghanistan,Asia,Middle East
Bahrain,Asia,Middle East
Kuwait,Asia,Middle East
Algeria,Europe,North Africa
Croatia,Europe,Eastern Europe
Switzerland,Europe,Central Europe
Austria,Europe,Central Europe
Israel,Asia,Middle East
Pakistan,Asia,South Asia
Brazil,South America,South America
Georgia,Europe,Eastern Europe
Greece,Europe,Eastern Europe
North Macedonia,Europe,Eastern Europe
Norway,Europe,Scandanavia
Romania,Europe,Eastern Europe
Estonia,Europe,Eastern Europe
San Marino,Europe,Southern Europe
Belarus,Europe,Eastern Europe
Iceland,Europe,Scandanavia
Lithuania,Europe,Eastern Europe
Mexico,North America,North America
New Zealand,Australia,Australia
Nigeria,Africa,Central Africa
Ireland,Europe,Western Europe
Luxembourg,Europe,Western Europe
Monaco,Europe,Western Europe
Qatar,Asia,Middle East
Ecuador,South America,South America
Azerbaijan,Asia,Eastern Europe
Armenia,Europe,Eastern Europe
Dominican Republic,North America,North America
Indonesia,Asia,Southeast Asia
Portugal,Europe,Western Europe
Andorra,Europe,Western Europe
Latvia,Europe,Eastern Europe
Morocco,Africa,North Africa
Saudi Arabia,Asia,Middle East
Senegal,Africa,West Africa
Argentina,South America,South America
Chile,South America,South America
Jordan,Asia,MIddle East
Ukraine,Europe,Eastern Europe
Hungary,Europe,Eastern Europe
Liechtenstein,Europe,Western Europe
Poland,Europe,Eastern Europe
Tunisia,Africa,North Africa
Bosnia and Herzegovina,Europe,Eastern Europe
Slovenia,Europe,Eastern Europe
South Africa,Africa,Southern Africa
Bhutan,Asia,South Asia
Cameroon,Africa,West Africa
Colombia,South America,South America
Costa Rica,North America,North America
Peru,South America,South America
Serbia,Europe,Eastern Europe
Slovakia,Europe,Eastern Europe
Togo,Africa,Southeast Asia
Malta,Europe,Eastern Europe
Martinique,North America,North America
Bulgaria,Europe,Eastern Europe
Maldives,Africa,South Asia
Bangladesh,Asia,South Asia
Paraguay,South America,South America
Albania,Europe,Eastern Europe
Cyprus,Europe,Eastern Europe
Brunei,Asia,Southeast Asia
US,North America,North America
Burkina Faso,Africa,West Africa
Holy See,Europe,Central Europe
Mongolia,Asia,Central Asia
Panama,North America,South America
China,Asia,East Asia
Iran,Asia,Middle East
"Korea, South",Asia,East Asia
France,Europe,Western Europe
Cruise Ship,Cruise Ship,
Denmark,Europe,Scandanavia
Czechia,Europe,Central Europe
Taiwan*,Asia,East Asia
Vietnam,Asia,Southeast Asia
Russia,Europe,Eastern Europe
Moldova,Europe,Eastern Europe
Bolivia,South America,South America
Honduras,North America,North America
United Kingdom,Europe,Western Europe
Congo (Kinshasa),Africa,Central Africa
Cote d'Ivoire,Africa,West Africa
Jamaica,North America,North America
Turkey,Europe,Eastern Europe
Cuba,North America,North America
Guyana,Africa,South America
Kazakhstan,Asia,Central Asia
Ethiopia,Africa,North Africa
Sudan,Africa,North Africa
Guinea,Africa,South America
Aruba,South America,South America
Kenya,Africa,East Africa
Antigua and Barbuda,North America,North America
Uruguay,South America,South America
Ghana,Africa,West Africa
Jersey,Europe,Western Europe
Namibia,Africa,South Africa
Seychelles,North America,East Africa
Trinidad and Tobago,North America,North America
Venezuela,South America,South America
Eswatini,Africa,South Africa
Gabon,Africa,Central Africa
Guatemala,North America,North America
Guernsey,Europe,Western Europe
Mauritania,Africa,North Africa
Rwanda,Africa,East Africa
Saint Lucia,North America,North America
Saint Vincent and the Grenadines,North America,North America
Suriname,Africa,South America
Kosovo,Europe,Eastern Europe
Central African Republic,Africa,Central Africa
Congo (Brazzaville),Africa,Central Africa
Equatorial Guinea,Africa,Central Africa
Uzbekistan,Asia,Central Asia
Netherlands,Europe,Western Europe
Benin,Africa,West Africa
Greenland,Europe,Scandanavia
Liberia,Africa,West Africa
Republic of the Congo,Africa,Central Africa
Somalia,Africa,East Africa
Tanzania,Africa,Central Africa
The Bahamas,North America,North America
Barbados,North America,North America
Montenegro,Europe,Central Europe
The Gambia,Africa,West Africa
